Subject of study,England,Wales,Scotland,Northern Ireland,Other UK,Total UK,European Union,Non-European Union,Total Non-UK,Not known,Total
01 Medicine and dentistry,"48,230","2,445","5,105","2,440",135,"58,350","3,200","9,005","12,205",0,"70,555"
02 Subjects allied to medicine,"215,940","14,630","25,615","9,985",370,"266,535","8,915","16,775","25,690",5,"292,230"
03 Biological and sport sciences,"80,740","5,445","8,000","2,590",310,"97,085","7,230","8,640","15,870",0,"112,950"
04 Psychology,"89,445","5,525","7,510","2,295",245,"105,020","6,375","7,695","14,075",0,"119,090"
05 Veterinary sciences,"7,065",435,910,265,25,"8,700",505,"1,440","1,945",0,"10,645"
"06 Agriculture, food and related studies","10,275","1,090","2,045",535,45,"13,985",820,"1,945","2,765",0,"16,750"
07 Physical sciences,"44,565","2,540","5,345","1,225",125,"53,795","5,115","7,545","12,665",5,"66,465"
09 Mathematical sciences,"28,600","1,370","2,685",895,90,"33,640","3,070","10,015","13,085",0,"46,725"
10 Engineering and technology,"91,370","5,955","14,150","3,915",225,"115,615","12,385","47,225","59,610",20,"175,245"
11 Computing,"75,780","5,035","9,940","5,285",170,"96,215","10,525","25,390","35,915",0,"132,130"
"13 Architecture, building and planning","36,505","1,970","4,170","1,580",85,"44,315","3,090","12,165","15,260",0,"59,570"
"26 Geography, earth and environmental studies (natural sciences)","21,800","1,460","2,465",860,95,"26,680","1,435","3,630","5,065",0,"31,745"
Total science CAH level 1,"750,305","47,890","87,945","31,875","1,915","919,935","62,670","151,470","214,140",30,"1,134,105"
15 Social sciences,"176,620","12,170","15,980","5,915",380,"211,065","14,340","34,915","49,255",0,"260,325"
16 Law,"81,865","4,845","6,850","2,490",250,"96,300","6,670","19,825","26,495",0,"122,795"
17 Business and management,"214,875","10,465","20,180","7,405",565,"253,490","30,185","128,970","159,150",10,"412,650"
19 Language and area studies,"64,765","3,810","6,870","2,040",235,"77,720","6,235","12,745","18,980",5,"96,705"
"20 Historical, philosophical and religious studies","63,450","3,130","6,065","1,460",235,"74,340","4,470","7,270","11,740",0,"86,080"
22 Education and teaching,"90,915","7,345","13,360","5,650",185,"117,455","2,280","10,120","12,400",25,"129,880"
23 Combined and general studies,"23,255","4,200","7,715","1,390",30,"36,590","1,230","3,690","4,920",0,"41,510"
"24 Media, journalism and communications","27,350","1,425","2,515","1,075",100,"32,470","3,880","10,160","14,035",0,"46,510"
"25 Design, and creative and performing arts","125,090","7,890","9,220","3,205",500,"145,905","15,395","25,680","41,080",10,"186,990"
"26 Geography, earth and environmental studies (social sciences)","8,820",415,495,130,40,"9,900",565,"1,470","2,030",0,"11,935"
Total non-science CAH level 1,"877,000","55,700","89,245","30,765","2,530","1,055,235","85,250","254,840","340,090",50,"1,395,380"
Total,"1,627,305","103,590","177,190","62,640","4,445","1,975,170","147,920","406,310","554,230",80,"2,529,485"
